Node,Load,FX (kN),FY (kN),FZ (kN),MX (kN*m),MY (kN*m),MZ (kN*m)
1,DL,2.606863,-14.952366,356.06184,21.474406,6.254673,-0.24608
2,DL,10.894097,2.19948,305.450237,-6.215035,20.177757,-0.24608
3,DL,2.865188,13.932638,99.388826,-24.750868,5.464095,-0.24608
4,DL,-20.838802,-8.255265,390.182695,11.068637,-32.01106,-0.24608
5,DL,18.207324,6.444333,452.22307,-12.266029,30.231993,-0.24608
6,DL,11.166317,-18.19467,389.165994,27.51046,19.657072,-0.24608
7,DL,6.863871,9.921519,395.658298,-17.879497,13.127063,-0.24608
8,DL,9.810458,0.903412,478.833277,-3.320928,18.428362,-0.24608
9,DL,-0.130271,-1.833702,524.977737,1.879767,0.628313,-0.24608
10,DL,0.758797,-13.337335,329.343672,20.450897,2.855475,-0.24608
11,DL,-7.782823,4.377117,243.859025,-8.146798,-10.518133,-0.24608
12,DL,-12.459183,3.743311,358.085169,-7.123601,-17.523099,-0.24608
13,DL,1.39133,5.636278,165.697072,-9.763817,4.292353,-0.24608
14,DL,-3.569374,1.11576,260.732055,-2.466024,-3.17165,-0.24608
15,DL,1.852778,-0.29636,203.058744,-0.186339,5.92816,-0.24608
16,DL,-5.762123,-26.550868,232.014784,42.544621,-8.909015,-0.24608
17,DL,-10.57705,12.446097,407.542748,-20.410945,-16.236663,-0.24608
18,DL,-3.448275,-12.476821,297.322275,19.823889,-3.936301,-0.24608
19,DL,5.33437,0.976286,167.619063,-1.894416,10.657882,-0.24608
20,DL,-2.635797,5.473217,236.159509,-9.15413,-1.931768,-0.24608
21,DL,10.272129,-0.586897,315.704,0.629142,19.520115,-0.24608
22,DL,24.527228,-49.704622,272.832012,80.507376,39.989233,-0.24608
23,DL,16.785733,20.101341,430.268787,-32.185339,27.937018,-0.24608
24,DL,10.471364,-15.920068,338.642718,25.966574,18.53516,-0.24608
25,DL,10.787834,2.437417,402.513103,-3.669214,19.461795,-0.24608
26,DL,-6.212771,8.910159,550.391506,-14.118621,-7.706331,-0.24608
27,DL,7.8444,-5.31008,472.375657,8.838119,15.60086,-0.24608
28,DL,25.689332,20.116104,422.540509,-32.209173,45.201075,-0.24608
29,DL,8.414338,0.679051,491.183687,-0.830559,18.104704,-0.24608
30,DL,8.666566,-2.815501,486.777477,4.810944,19.303769,-0.24608
31,DL,28.948422,55.896098,567.440002,-89.971355,52.838083,-0.24608
32,DL,-34.123321,-48.477517,256.40471,79.417234,-54.694508,-0.24608
33,DL,-3.196688,-2.56649,20.776034,5.299806,-4.618974,-0.24608
34,DL,-19.143405,14.684669,406.661786,-22.549962,-30.065936,-0.24608
35,DL,-11.007196,-15.364381,316.306552,25.960349,-16.139202,-0.24608
36,DL,-10.597249,3.012865,413.651499,-3.707341,-15.061661,-0.24608
37,DL,-13.457805,0.919864,460.268101,-0.328462,-19.402503,-0.24608
38,DL,-16.017342,16.996872,481.706687,-26.282716,-22.920841,-0.24608
39,DL,-23.102218,-6.890716,520.588448,12.280712,-33.566584,-0.24608
40,DL,-10.987626,1.538517,353.658898,-1.327197,-13.217264,-0.24608
41,DL,-10.619294,-1.404036,348.61095,3.423175,-11.830763,-0.24608
42,DL,-24.039182,34.62383,567.919523,-54.739163,-32.703563,-0.24608
43,DL,15.210127,-12.145004,150.755622,21.178816,25.096453,-0.24608
44,DL,16.570052,14.433635,381.934159,-21.728965,27.588828,-0.24608
45,DL,11.523461,-16.659948,288.423314,28.467611,20.233635,-0.24608
46,DL,5.181933,24.030644,471.289383,-37.222098,10.411791,-0.24608
47,DL,10.180911,-6.620001,502.982819,12.259412,19.372855,-0.24608
48,DL,12.840512,3.402826,449.915418,-3.921149,24.458315,-0.24608
49,DL,14.608419,0.505931,327.292687,0.755515,28.104247,-0.24608
50,DL,14.933563,0.58545,326.342813,0.627142,29.421027,-0.24608
51,DL,8.571196,-8.920297,347.524494,15.972944,19.941682,-0.24608
52,DL,-28.287356,9.491183,474.825285,-13.750014,-39.165756,-0.24608
53,DL,-19.560618,-9.567805,117.473931,17.84973,-31.036426,-0.24608
54,DL,-16.522397,19.471358,406.054854,-29.030249,-25.834658,-0.24608
55,DL,-4.95058,-18.800108,393.896377,32.754092,-6.361578,-0.24608
56,DL,2.578588,3.364667,412.02402,-3.028076,6.209028,-0.24608
57,DL,-6.96373,-6.732559,352.307872,13.272591,-8.6514,-0.24608
58,DL,-0.825061,15.808978,424.929562,-23.117809,1.605134,-0.24608
59,DL,-0.382413,0.002243,532.781622,2.400123,3.111609,-0.24608
60,DL,-2.558966,0.33674,475.780227,1.860121,0.38972,-0.24608
61,DL,-2.025402,1.114761,481.204055,0.604107,2.042966,-0.24608
62,DL,4.667053,-19.073706,384.728039,33.195781,13.638946,-0.24608
63,DL,-9.240237,3.822471,275.024939,-3.767142,-8.416639,-0.24608
1,SDL,-2.215619,-2.782252,56.190782,4.850153,-2.689744,-0.018225
2,SDL,-3.729618,0.874458,42.483176,-1.053135,-5.093579,-0.018225
3,SDL,0.830922,3.517764,8.707516,-5.290354,2.139068,-0.018225
